transaction_id,date,product_id,customer_id,quantity,unit_price,discount_pct,net_revenue,unit_cost,total_cost
T000077,2024-01-08,P011,C023,8,2600,12.0,18304.0,1800,14400
T000078,2024-01-08,P019,C027,1,230,0.0,230.0,150,150
T000079,2024-01-08,P020,C010,3,3100,10.0,8370.0,2200,6600
T000080,2024-01-08,P013,C023,4,2900,10.0,10440.0,2100,8400
T000081,2024-01-08,P014,C032,12,260,0.0,3120.0,180,2160
T000082,2024-01-08,P016,C031,1,2100,0.0,2100.0,1400,1400
T000083,2024-01-08,P020,C005,8,3100,10.0,22320.0,2200,17600
T000084,2024-01-08,P015,C019,1,520,0.0,520.0,350,350
T000085,2024-01-08,P017,C022,1,420,0.0,420.0,340,340
T000086,2024-01-09,P002,C013,6,900,5.0,5130.0,650,3900
T000087,2024-01-09,P006,C007,5,82,0.0,410.0,55,275
T000088,2024-01-09,P007,C002,6,1850,0.0,11100.0,1200,7200
T000089,2024-01-09,P017,C010,2,420,12.0,739.2,340,680
T000090,2024-01-09,P020,C019,3,3100,0.0,9300.0,2200,6600
T000091,2024-01-09,P001,C005,10,3200,0.0,32000.0,2400,24000
T000092,2024-01-09,P007,C040,3,1850,8.0,5106.0,1200,3600
T000093,2024-01-09,P004,C035,3,340,0.0,1020.0,220,660
T000094,2024-01-09,P015,C029,23,520,8.0,11003.2,350,8050
T000095,2024-01-09,P015,C001,5,520,10.0,2340.0,350,1750
T000096,2024-01-09,P010,C002,2,380,5.0,722.0,260,520
T000097,2024-01-09,P010,C024,8,380,10.0,2736.0,260,2080
T000098,2024-01-09,P007,C014,6,1850,0.0,11100.0,1200,7200
T000099,2024-01-10,P005,C023,21,48,0.0,1008.0,32,672
T000100,2024-01-10,P019,C005,1,230,8.0,211.6,150,150
T000101,2024-01-10,P016,C014,4,2100,10.0,7560.0,1400,5600
T000102,2024-01-10,P011,C028,2,2600,0.0,5200.0,1800,3600
T000103,2024-01-10,P008,C021,2,6200,10.0,11160.0,4200,8400
T000104,2024-01-10,P020,C017,12,3100,0.0,37200.0,2200,26400
T000105,2024-01-10,P020,C039,5,3100,5.0,14725.0,2200,11000
T000106,2024-01-11,P006,C025,10,82,5.0,779.0,55,550
T000107,2024-01-11,P008,C025,1,6200,10.0,5580.0,4200,4200
T000108,2024-01-11,P005,C001,4,48,8.0,176.64,32,128
T000109,2024-01-11,P010,C034,2,380,12.0,668.8,260,520
T000110,2024-01-11,P001,C017,7,3200,10.0,20160.0,2400,16800
T000111,2024-01-12,P012,C017,8,5200,8.0,38272.0,3800,30400
T000112,2024-01-12,P019,C007,5,230,5.0,1092.5,150,750
T000113,2024-01-12,P007,C026,6,1850,5.0,10545.0,1200,7200
T000114,2024-01-12,P020,C009,12,3100,12.0,32736.0,2200,26400
T000115,2024-01-12,P017,C010,6,420,0.0,2520.0,340,2040
T000116,2024-01-12,P003,C001,1,1250,10.0,1125.0,900,900
T000117,2024-01-12,P005,C008,1,48,12.0,42.24,32,32
T000118,2024-01-12,P012,C036,1,5200,12.0,4576.0,3800,3800
T000119,2024-01-12,P005,C014,1,48,5.0,45.6,32,32
T000120,2024-01-12,P014,C008,8,260,5.0,1976.0,180,1440
T000121,2024-01-12,P018,C019,7,78,8.0,502.32,62,434
T000122,2024-01-12,P015,C010,2,520,5.0,988.0,350,700
T000123,2024-01-13,P011,C007,1,2600,0.0,2600.0,1800,1800
T000124,2024-01-13,P014,C033,8,260,10.0,1872.0,180,1440
T000125,2024-01-13,P006,C026,12,82,5.0,934.8,55,660
T000126,2024-01-13,P010,C014,2,380,5.0,722.0,260,520
T000127,2024-01-14,P009,C021,7,600,0.0,4200.0,420,2940
T000128,2024-01-14,P001,C034,5,3200,12.0,14080.0,2400,12000
T000129,2024-01-14,P013,C006,7,2900,10.0,18270.0,2100,14700
T000130,2024-01-14,P009,C021,5,600,8.0,2760.0,420,2100
T000131,2024-01-14,P010,C007,4,380,0.0,1520.0,260,1040
T000132,2024-01-14,P007,C011,6,1850,0.0,11100.0,1200,7200
T000133,2024-01-14,P016,C038,11,2100,12.0,20328.0,1400,15400
T000134,2024-01-14,P014,C036,2,260,10.0,468.0,180,360
T000135,2024-01-14,P006,C034,1,82,12.0,72.16,55,55
T000136,2024-01-14,P020,C025,6,3100,5.0,17670.0,2200,13200
T000137,2024-01-14,P013,C021,8,2900,0.0,23200.0,2100,16800
T000138,2024-01-14,P008,C024,6,6200,0.0,37200.0,4200,25200
T000139,2024-01-15,P006,C003,1,82,0.0,82.0,55,55
T000140,2024-01-15,P011,C036,2,2600,0.0,5200.0,1800,3600
T000141,2024-01-15,P017,C004,10,420,10.0,3780.0,340,3400
T000142,2024-01-15,P014,C006,10,260,0.0,2600.0,180,1800
T000143,2024-01-15,P009,C002,7,600,0.0,4200.0,420,2940
T000144,2024-01-15,P001,C002,8,3200,0.0,25600.0,2400,19200
T000145,2024-01-15,P003,C013,4,1250,0.0,5000.0,900,3600
T000146,2024-01-15,P016,C002,3,2100,5.0,5985.0,1400,4200
T000147,2024-01-15,P015,C030,10,520,12.0,4576.0,350,3500
T000148,2024-01-15,P017,C002,13,420,8.0,5023.2,340,4420
T000149,2024-01-15,P009,C032,1,600,12.0,528.0,420,420
T000150,2024-01-15,P011,C031,7,2600,0.0,18200.0,1800,12600
T000151,2024-01-15,P007,C016,-1,1850,10.0,8325.0,1200,6000
T000152,2024-01-15,P005,C025,1,48,0.0,48.0,32,32
T000153,2024-01-16,P008,C034,2,6200,0.0,12400.0,4200,8400
T000154,2024-01-16,P019,C007,10,230,5.0,2185.0,150,1500
T000155,2024-01-16,P001,C011,7,3200,0.0,22400.0,2400,16800
T000156,2024-01-16,P006,C025,8,82,0.0,656.0,55,440
T000157,2024-01-16,P001,C038,1,3200,8.0,2944.0,2400,2400
T000158,2024-01-16,P015,C034,14,520,10.0,6552.0,350,4900
T000159,2024-01-17,P002,C025,15,900,0.0,13500.0,650,9750
T000160,2024-01-17,P011,C027,5,2600,12.0,11440.0,1800,9000
T000161,2024-01-17,P006,C031,4,82,5.0,311.6,55,220
T000162,2024-01-17,P011,C004,6,2600,0.0,15600.0,1800,10800
T000163,2024-01-17,P013,C005,9,2900,10.0,23490.0,2100,18900
T000164,2024-01-17,P012,C001,2,5200,0.0,10400.0,3800,7600
T000165,2024-01-17,P019,C008,6,230,10.0,1242.0,150,900
T000166,2024-01-17,P019,C024,1,230,10.0,207.0,150,150
T000167,2024-01-17,P011,C009,4,2600,0.0,10400.0,1800,7200
T000168,2024-01-18,P016,C039,6,2100,12.0,11088.0,1400,8400
T000169,2024-01-18,P004,C018,1,340,8.0,312.8,220,220
T000170,2024-01-18,P012,C016,11,5200,5.0,54340.0,3800,41800
T000171,2024-01-18,P004,C018,13,340,10.0,3978.0,220,2860
T000172,2024-01-18,P001,C006,2,3200,12.0,5632.0,2400,4800
T000173,2024-01-18,P014,C032,16,260,0.0,4160.0,180,2880
T000174,2024-01-18,P010,C037,15,380,0.0,5700.0,260,3900
T000175,2024-01-18,P012,C006,6,5200,5.0,29640.0,3800,22800
T000176,2024-01-19,P002,C040,2,900,8.0,1656.0,650,1300
T000177,2024-01-19,P010,C021,5,380,5.0,1805.0,260,1300
T000178,2024-01-19,P003,C016,3,1250,0.0,3750.0,900,2700
T000179,2024-01-19,P001,C033,6,3200,0.0,19200.0,2400,14400
T000180,2024-01-19,P013,C029,1,2900,8.0,2668.0,2100,2100
T000181,2024-01-19,P009,C007,4,600,0.0,2400.0,420,1680
T000182,2024-01-19,P018,C040,9,78,12.0,617.76,62,558
T000183,2024-01-19,P004,C013,1,340,12.0,299.2,220,220
T000184,2024-01-20,P014,C006,2,260,10.0,468.0,180,360
T000185,2024-01-20,P009,C004,1,600,0.0,600.0,420,420
T000186,2024-01-20,P001,C040,14,3200,10.0,40320.0,2400,33600
T000187,2024-01-20,P014,C028,4,260,0.0,1040.0,180,720
T000188,2024-01-20,P004,C002,2,340,10.0,612.0,220,440
T000189,2024-01-20,P003,C033,2,1250,0.0,2500.0,900,1800
T000190,2024-01-20,P014,C037,2,260,12.0,457.6,180,360
T000191,2024-01-21,P012,C013,6,5200,10.0,28080.0,3800,22800
T000192,2024-01-21,P003,C024,7,1250,0.0,8750.0,900,6300
T000193,2024-01-21,P006,C020,9,82,0.0,738.0,55,495
T000194,2024-01-21,P005,C038,7,48,0.0,336.0,32,224
T000195,2024-01-21,P013,C035,3,2900,10.0,7830.0,2100,6300
T000196,2024-01-21,P015,C034,6,520,10.0,2808.0,350,2100
T000197,2024-01-21,P001,C033,2,3200,0.0,6400.0,2400,4800
T000198,2024-01-21,P017,C028,4,420,8.0,1545.6,340,1360
T000199,2024-01-21,P020,C008,5,3100,0.0,15500.0,2200,11000
T000200,2024-01-21,P018,C028,1,78,0.0,78.0,62,62
T000201,2024-01-21,P017,C004,9,420,5.0,3591.0,340,3060
T000202,2024-01-22,P008,C024,6,6200,5.0,35340.0,4200,25200
T000203,2024-01-22,P003,C029,3,1250,0.0,3750.0,900,2700
T000204,2024-01-22,P019,C035,15,230,12.0,3036.0,150,2250
T000205,2024-01-22,P014,C009,6,260,8.0,1435.2,180,1080
T000206,2024-01-22,P001,C011,8,3200,12.0,22528.0,2400,19200
T000207,2024-01-22,P020,C015,3,3100,0.0,9300.0,2200,6600
T000208,2024-01-22,P009,C007,8,600,0.0,4800.0,420,3360
T000209,2024-01-22,P013,C033,6,2900,10.0,15660.0,2100,12600
T000210,2024-01-22,P002,C001,1,900,10.0,810.0,650,650
T000211,2024-01-22,P018,C013,5,78,10.0,351.0,62,310
T000212,2024-01-22,P013,C012,6,2900,0.0,17400.0,2100,12600
T000213,2024-01-22,P001,C006,7,3200,10.0,20160.0,2400,16800
T000214,2024-01-22,P006,C014,5,82,8.0,377.2,55,275
T000215,2024-01-22,P013,C031,11,2900,5.0,30305.0,2100,23100
T000216,2024-01-23,P006,C010,2,82,0.0,164.0,55,110
T000217,2024-01-23,P017,C002,2,420,0.0,840.0,340,680
T000218,2024-01-23,P012,C015,5,5200,10.0,23400.0,3800,19000
T000219,2024-01-23,P011,C003,13,2600,8.0,31096.0,1800,23400
T000220,2024-01-23,P014,C001,6,260,0.0,1560.0,180,1080
T000221,2024-01-23,P007,C009,3,1850,5.0,5272.5,1200,3600
T000222,2024-01-23,P016,C020,1,2100,0.0,2100.0,1400,1400
T000223,2024-01-23,P016,C002,4,2100,8.0,7728.0,1400,5600
T000224,2024-01-23,P016,C025,1,2100,0.0,2100.0,1400,1400
T000225,2024-01-23,P005,C031,12,48,12.0,506.88,32,384
T000226,2024-01-24,P004,C023,4,340,0.0,1360.0,220,880
T000227,2024-01-24,P001,C021,8,3200,0.0,25600.0,2400,19200
T000228,2024-01-24,P001,C006,4,3200,12.0,11264.0,2400,9600
T000229,2024-01-24,P003,C005,9,1250,0.0,11250.0,900,8100
T000230,2024-01-24,P011,C030,7,2600,0.0,18200.0,1800,12600
T000231,2024-01-24,P007,C035,8,1850,12.0,13024.0,1200,9600
T000232,2024-01-24,P010,C028,9,380,0.0,3420.0,260,2340
T000233,2024-01-24,P015,C029,1,520,0.0,520.0,350,350
T000234,2024-01-25,P013,C029,2,2900,0.0,5800.0,2100,4200
T000235,2024-01-25,P019,C038,4,230,0.0,920.0,150,600
T000236,2024-01-25,P006,C029,1,82,0.0,82.0,55,55
T000237,2024-01-25,P003,C011,2,1250,0.0,2500.0,900,1800
T000238,2024-01-25,P020,C033,5,3100,10.0,13950.0,2200,11000
T000239,2024-01-26,P001,C037,10,3200,0.0,32000.0,2400,24000
T000240,2024-01-26,P001,C029,6,3200,12.0,16896.0,2400,14400
T000241,2024-01-26,P003,C013,5,1250,12.0,5500.0,900,4500
T000242,2024-01-26,P004,C015,1,340,12.0,299.2,220,220
T000243,2024-01-26,P007,C021,4,1850,0.0,7400.0,1200,4800
T000244,2024-01-26,P005,C004,21,48,5.0,957.6,32,672
T000245,2024-01-26,P001,C017,3,3200,0.0,9600.0,2400,7200
T000246,2024-01-26,P006,C007,2,82,0.0,164.0,55,110
T000247,2024-01-27,P015,C013,3,520,10.0,1404.0,350,1050
T000248,2024-01-27,P006,C030,13,82,12.0,938.08,55,715
T000249,2024-01-27,P002,C039,8,900,5.0,6840.0,650,5200
T000250,2024-01-27,P011,C037,2,2600,0.0,5200.0,1800,3600
T000251,2024-01-27,P007,C009,1,1850,5.0,1757.5,1200,1200
T000252,2024-01-27,P019,C029,2,230,0.0,460.0,150,300
T000253,2024-01-27,P017,C021,2,420,0.0,840.0,340,680
T000254,2024-01-27,P020,C036,3,3100,8.0,8556.0,2200,6600
T000255,2024-01-27,P013,C026,1,2900,0.0,2900.0,2100,2100
T000256,2024-01-28,P006,C011,7,82,12.0,505.12,55,385
T000257,2024-01-28,P006,C032,1,82,5.0,77.9,55,55
T000258,2024-01-28,P018,C001,5,78,12.0,343.2,62,310
T000259,2024-01-28,P015,C015,5,520,0.0,2600.0,350,1750
T000260,2024-01-28,P014,C028,11,260,0.0,2860.0,180,1980
T000261,2024-01-28,P003,C017,3,1250,10.0,3375.0,900,2700
T000262,2024-01-28,P003,C021,1,1250,12.0,1100.0,900,900
T000263,2024-01-28,P017,C014,9,420,0.0,3780.0,340,3060
T000264,2024-01-28,P005,C031,2,48,8.0,88.32,32,64
T000265,2024-01-29,P017,C006,4,420,12.0,1478.4,340,1360
T000266,2024-01-29,P002,C024,7,900,8.0,5796.0,650,4550
T000267,2024-01-29,P011,C018,3,2600,12.0,6864.0,1800,5400
T000268,2024-01-29,P004,C034,3,340,0.0,1020.0,220,660
T000269,2024-01-29,P018,C010,4,78,0.0,312.0,62,248
T000270,2024-01-29,P001,C023,8,3200,5.0,24320.0,2400,19200
T000271,2024-01-29,P003,C013,1,1250,12.0,1100.0,900,900
T000272,2024-01-30,P008,C001,8,6200,10.0,44640.0,4200,33600
T000273,2024-01-30,P005,C020,2,48,12.0,84.48,32,64
T000274,2024-01-30,P003,C002,1,1250,0.0,1250.0,900,900
T000275,2024-01-30,P017,C004,6,420,10.0,2268.0,340,2040
T000276,2024-01-30,P009,C024,6,600,0.0,3600.0,420,2520
T000277,2024-01-30,P001,C019,2,3200,0.0,6400.0,2400,4800
T000278,2024-01-30,P013,C036,5,2900,8.0,13340.0,2100,10500
T000279,2024-01-30,P013,C002,1,2900,8.0,2668.0,2100,2100
T000280,2024-01-30,P014,C038,1,260,0.0,260.0,180,180
T000281,2024-01-30,P007,C008,6,1850,0.0,11100.0,1200,7200
T000282,2024-01-30,P018,C031,24,78,8.0,1722.24,62,1488
T000283,2024-01-30,P010,C033,6,380,0.0,2280.0,260,1560
T000284,2024-01-30,P006,C011,20,82,12.0,1443.2,55,1100
T000285,2024-01-31,P018,C033,7,78,0.0,546.0,62,434
T000286,2024-01-31,P008,C015,4,6200,5.0,23560.0,4200,16800
T000287,2024-01-31,P007,C007,1,1850,10.0,1665.0,1200,1200
T000288,2024-01-31,P015,C002,1,520,0.0,520.0,350,350
T000289,2024-01-31,P009,C006,9,600,0.0,5400.0,420,3780
T000290,2024-01-31,P005,C010,1,48,10.0,43.2,32,32
T000291,2024-01-31,P015,C038,7,520,12.0,3203.2,350,2450
T000292,2024-02-01,P009,C036,2,600,10.0,1080.0,420,840
T000293,2024-02-01,P002,C008,3,900,12.0,2376.0,650,1950
T000294,2024-02-01,P013,C038,7,2900,12.0,17864.0,2100,14700
T000295,2024-02-01,P012,C006,1,5200,5.0,4940.0,3800,3800
T000296,2024-02-01,P018,C019,3,78,0.0,234.0,62,186
T000297,2024-02-01,P019,C033,6,230,8.0,1269.6,150,900
T000298,2024-02-01,P015,C034,3,520,0.0,1560.0,350,1050
T000299,2024-02-01,P017,C035,11,420,0.0,4620.0,340,3740
T000300,2024-02-02,P014,C013,8,260,10.0,1872.0,180,1440
T000301,2024-02-02,P019,C040,2,230,5.0,437.0,150,300
T000302,2024-02-02,P016,C038,3,2100,5.0,5985.0,1400,4200
T000303,2024-02-02,P020,C025,10,3100,12.0,27280.0,2200,22000
T000304,2024-02-02,P019,C017,12,230,8.0,2539.2,150,1800
T000305,2024-02-02,P008,C003,20,6200,5.0,117800.0,4200,84000
T000306,2024-02-02,P006,C033,3,82,5.0,233.7,55,165
T000307,2024-02-02,P001,C004,3,3200,5.0,9120.0,2400,7200
T000308,2024-02-02,P006,C016,5,82,10.0,369.0,55,275
T000309,2024-02-02,P016,C016,9,2100,8.0,17388.0,1400,12600
T000310,2024-02-02,P004,C029,9,340,0.0,3060.0,220,1980
T000311,2024-02-03,P009,C010,3,600,0.0,1800.0,420,1260
T000312,2024-02-03,P010,C023,5,380,5.0,1805.0,260,1300
T000313,2024-02-03,P010,C038,2,380,10.0,684.0,260,520
T000314,2024-02-03,P003,C023,5,1250,0.0,6250.0,900,4500
T000315,2024-02-03,P003,C031,2,1250,0.0,2500.0,900,1800
T000316,2024-02-03,P011,C022,6,2600,5.0,14820.0,1800,10800
T000317,2024-02-03,P017,C025,1,420,0.0,420.0,340,340
T000318,2024-02-03,P017,C003,6,420,0.0,2520.0,340,2040
T000319,2024-02-03,P001,C005,1,3200,0.0,3200.0,2400,2400
T000320,2024-02-03,P006,C027,5,82,0.0,410.0,55,275
T000321,2024-02-04,P020,C031,1,3100,5.0,2945.0,2200,2200
T000322,2024-02-04,P020,C026,9,3100,5.0,26505.0,2200,19800
T000323,2024-02-04,P012,C029,2,5200,0.0,10400.0,3800,7600
T000324,2024-02-04,P017,C032,13,420,12.0,4804.8,340,4420
T000325,2024-02-04,P017,C017,5,420,10.0,1890.0,340,1700
T000326,2024-02-04,P019,C008,1,230,12.0,202.4,150,150
T000327,2024-02-04,P010,C015,6,380,10.0,2052.0,260,1560
T000328,2024-02-04,P019,C011,3,230,12.0,607.2,150,450
T000329,2024-02-04,P005,C034,2,48,0.0,96.0,32,64
T000330,2024-02-04,P014,C024,3,260,0.0,780.0,180,540
T000331,2024-02-04,P009,C026,1,600,12.0,528.0,420,420
T000332,2024-02-04,P014,C038,5,260,12.0,1144.0,180,900
T000333,2024-02-04,P016,C005,5,2100,8.0,9660.0,1400,7000
T000334,2024-02-04,P020,C030,1,3100,0.0,3100.0,2200,2200
T000335,2024-02-05,P009,C019,4,600,10.0,2160.0,420,1680
T000336,2024-02-05,P003,C001,1,1250,0.0,1250.0,900,900
T000337,2024-02-05,P017,C020,2,420,5.0,798.0,340,680
T000338,2024-02-06,P008,C018,12,6200,0.0,74400.0,4200,50400
T000339,2024-02-06,P001,C008,4,3200,8.0,11776.0,2400,9600
T000340,2024-02-06,P008,C017,4,6200,0.0,24800.0,4200,16800
T000341,2024-02-06,P014,C039,7,260,,1820.0,180,1260
T000342,2024-02-06,P006,C014,2,82,0.0,164.0,55,110
T000343,2024-02-06,P020,C037,8,3100,0.0,24800.0,2200,17600
T000344,2024-02-06,P014,C017,1,260,10.0,234.0,180,180
T000345,2024-02-06,P006,C006,10,82,0.0,820.0,55,550
T000346,2024-02-06,P020,C025,4,3100,10.0,11160.0,2200,8800
T000347,2024-02-06,P018,C038,1,78,0.0,78.0,62,62
T000348,2024-02-06,P016,C039,1,2100,5.0,1995.0,1400,1400
T000349,2024-02-06,P019,C005,3,230,12.0,607.2,150,450
T000350,2024-02-07,P013,C016,2,2900,8.0,5336.0,2100,4200
T000351,2024-02-07,P008,C023,6,6200,8.0,34224.0,4200,25200
T000352,2024-02-07,P020,C024,5,3100,12.0,13640.0,2200,11000
T000353,2024-02-07,P010,C039,1,380,0.0,380.0,260,260
T000354,2024-02-07,P001,C033,3,3200,10.0,8640.0,2400,7200
T000355,2024-02-07,P005,C022,3,48,5.0,136.8,32,96
T000356,2024-02-07,P016,C026,3,2100,0.0,6300.0,1400,4200
T000357,2024-02-07,P012,C033,9,5200,0.0,46800.0,3800,34200
T000358,2024-02-07,P017,C015,1,420,0.0,420.0,340,340
T000359,2024-02-07,P010,C029,1,380,0.0,380.0,260,260
T000360,2024-02-07,P004,C011,1,340,0.0,340.0,220,220
T000361,2024-02-07,P020,C024,3,3100,0.0,9300.0,2200,6600
T000362,2024-02-07,P004,C001,16,340,5.0,5168.0,220,3520
T000363,2024-02-07,P019,C015,10,230,10.0,2070.0,150,1500
T000364,2024-02-07,P017,C030,7,420,0.0,2940.0,340,2380
T000365,2024-02-07,P001,C030,5,3200,10.0,14400.0,2400,12000
T000366,2024-02-08,P013,C019,10,2900,12.0,25520.0,2100,21000
T000367,2024-02-08,P018,C007,3,78,0.0,234.0,62,186
T000368,2024-02-08,P006,C013,4,82,12.0,288.64,55,220
T000369,2024-02-08,P020,C038,3,3100,0.0,9300.0,2200,6600
T000370,2024-02-09,P010,C040,3,380,10.0,1026.0,260,780
T000371,2024-02-09,P017,C038,2,420,12.0,739.2,340,680
T000372,2024-02-09,P007,C036,7,1850,0.0,12950.0,1200,8400
T000373,2024-02-09,P019,C037,1,230,0.0,230.0,150,150
T000374,2024-02-09,P010,C015,2,380,8.0,699.2,260,520
T000375,2024-02-09,P008,C026,4,6200,12.0,21824.0,4200,16800
T000376,2024-02-09,P003,C020,25,1250,5.0,29687.5,900,22500
T000377,2024-02-09,P017,C001,3,420,12.0,1108.8,340,1020
T000378,2024-02-09,P010,C038,10,380,5.0,3610.0,260,2600
T000379,2024-02-10,P020,C003,1,3100,8.0,2852.0,2200,2200
T000380,2024-02-10,P003,C029,1,1250,10.0,1125.0,900,900
T000381,2024-02-10,P006,C018,4,82,12.0,288.64,55,220
T000382,2024-02-10,P006,C015,6,82,8.0,452.64,55,330
T000383,2024-02-10,P001,C001,5,3200,0.0,16000.0,2400,12000
T000384,2024-02-10,P006,C039,5,82,5.0,389.5,55,275
T000385,2024-02-10,P019,C025,1,230,0.0,230.0,150,150
T000386,2024-02-10,P005,C024,3,48,0.0,144.0,32,96
T000387,2024-02-10,P007,C038,7,1850,10.0,11655.0,1200,8400
T000388,2024-02-10,P019,C013,11,230,12.0,2226.4,150,1650
T000389,2024-02-10,P017,C005,8,420,0.0,3360.0,340,2720
T000390,2024-02-10,P019,C023,4,230,12.0,809.6,150,600
T000391,2024-02-11,P012,C021,1,5200,0.0,5200.0,3800,3800
T000392,2024-02-11,P015,C020,1,520,10.0,468.0,350,350
T000393,2024-02-11,P016,C009,2,2100,12.0,3696.0,1400,2800
T000394,2024-02-11,P011,C015,7,2600,0.0,18200.0,1800,12600
