product_id,month,opening_stock,procured,sold,closing_stock,reorder_level
P004,2025-08,2051,81,42,2090,120
P004,2025-09,2090,129,115,2104,120
P004,2025-10,2104,127,80,2151,120
P004,2025-11,2151,196,57,2290,120
P004,2025-12,2290,102,73,2319,120
P004,2026-01,2319,148,78,2389,120
P004,2026-02,2389,161,77,2473,120
P004,2026-03,2473,213,74,2612,120
P004,2026-04,2612,106,79,2639,120
P004,2026-05,2639,189,111,2717,120
P004,2026-06,2717,178,69,2826,120
P005,2024-01,495,112,81,526,120
P005,2024-02,526,187,68,645,120
P005,2024-03,645,154,127,672,120
P005,2024-04,672,126,131,667,120
P005,2024-05,667,93,103,657,120
P005,2024-06,657,148,102,703,120
P005,2024-07,703,159,70,792,120
P005,2024-08,792,89,46,835,120
P005,2024-09,835,225,49,1011,120
P005,2024-10,1011,204,83,1132,120
P005,2024-11,1132,137,113,1156,120
P005,2024-12,1156,88,23,1221,120
P005,2025-01,1221,207,58,1370,120
P005,2025-02,1370,84,44,1410,120
P005,2025-03,1410,156,147,1419,120
P005,2025-04,1419,117,82,1454,120
P005,2025-05,1454,122,118,1458,120
P005,2025-06,1458,215,47,1626,120
P005,2025-07,1626,134,47,1713,120
P005,2025-08,1713,124,72,1765,120
P005,2025-09,1765,134,72,1827,120
P005,2025-10,1827,106,117,1816,120
P005,2025-11,1816,213,113,1916,120
P005,2025-12,1916,169,79,2006,120
P005,2026-01,2006,116,33,2089,120
P005,2026-02,2089,135,87,2137,120
P005,2026-03,2137,255,137,2255,120
P005,2026-04,2255,184,144,2295,120
P005,2026-05,2295,203,143,2355,120
P005,2026-06,2355,234,52,2537,120
P006,2024-01,360,142,126,376,120
P006,2024-02,376,259,75,560,120
P006,2024-03,560,181,128,613,120
P006,2024-04,613,118,36,695,120
P006,2024-05,695,234,144,785,120
P006,2024-06,785,217,61,941,120
P006,2024-07,941,152,17,1076,120
P006,2024-08,1076,128,56,1148,120
P006,2024-09,1148,198,118,1228,120
P006,2024-10,1228,177,62,1343,120
P006,2024-11,1343,122,70,1395,120
P006,2024-12,1395,89,56,1428,120
P006,2025-01,1428,227,82,1573,120
P006,2025-02,1573,232,108,1697,120
P006,2025-03,1697,243,89,1851,120
P006,2025-04,1851,145,128,1868,120
P006,2025-05,1868,206,107,1967,120
P006,2025-06,1967,185,64,2088,120
P006,2025-07,2088,127,82,2133,120
P006,2025-08,2133,246,73,2306,120
P006,2025-09,2306,140,77,2369,120
P006,2025-10,2369,85,73,2381,120
P006,2025-11,2381,109,99,2391,120
P006,2025-12,2391,254,73,2572,120
P006,2026-01,2572,92,77,2587,120
P006,2026-02,2587,174,13,2748,120
P006,2026-03,2748,167,112,2803,120
P006,2026-04,2803,220,126,2897,120
P006,2026-05,2897,227,119,3005,120
P006,2026-06,3005,165,87,3083,120
P007,2024-01,452,226,65,613,120
P007,2024-02,613,225,35,803,120
P007,2024-03,803,238,72,969,120
P007,2024-04,969,207,123,1053,120
P007,2024-05,1053,148,106,1095,120
P007,2024-06,1095,180,76,1199,120
P007,2024-07,1199,210,51,1358,120
P007,2024-08,1358,133,37,1454,120
P007,2024-09,1454,259,60,1653,120
P007,2024-10,1653,159,112,1700,120
P007,2024-11,1700,216,116,1800,120
P007,2024-12,1800,171,107,1864,120
P007,2025-01,1864,252,104,2012,120
P007,2025-02,2012,200,34,2178,120
P007,2025-03,2178,212,109,2281,120
P007,2025-04,2281,219,84,2416,120
P007,2025-05,2416,139,147,2408,120
P007,2025-06,2408,142,82,2468,120
P007,2025-07,2468,228,70,2626,120
P007,2025-08,2626,163,28,2761,120
P007,2025-09,2761,199,114,2846,120
P007,2025-10,2846,173,89,2930,120
P007,2025-11,2930,85,130,2885,120
P007,2025-12,2885,164,143,2906,120
P007,2026-01,2906,111,46,2971,120
P007,2026-02,2971,95,62,3004,120
P007,2026-03,3004,127,133,2998,120
P007,2026-04,2998,132,103,3027,120
P007,2026-05,3027,213,123,3117,120
P007,2026-06,3117,125,116,3126,120
P008,2024-01,518,117,34,601,120
P008,2024-02,601,228,70,759,120
P008,2024-03,759,174,164,769,120
P008,2024-04,769,92,119,742,120
P008,2024-05,742,99,150,691,120
P008,2024-06,691,92,98,685,120
P008,2024-07,685,153,47,791,120
P008,2024-08,791,133,38,886,120
P008,2024-09,886,88,66,908,120
P008,2024-10,908,202,146,964,120
P008,2024-11,964,233,89,1108,120
P008,2024-12,1108,231,69,1270,120
P008,2025-01,1270,107,156,1221,120
P008,2025-02,1221,236,93,1364,120
P008,2025-03,1364,156,196,1324,120
P008,2025-04,1324,117,126,1315,120
P008,2025-05,1315,104,177,1242,120
P008,2025-06,1242,218,83,1377,120
P008,2025-07,1377,126,116,1387,120
P008,2025-08,1387,195,8,1574,120
P008,2025-09,1574,179,74,1679,120
P008,2025-10,1679,246,78,1847,120
P008,2025-11,1847,208,67,1988,120
P008,2025-12,1988,219,59,2148,120
P008,2026-01,2148,168,79,2237,120
P008,2026-02,2237,175,58,2354,120
P008,2026-03,2354,106,64,2396,120
P008,2026-04,2396,220,133,2483,120
P008,2026-05,2483,215,136,2562,120
P008,2026-06,2562,135,73,2624,120
P009,2024-01,255,221,54,422,120
P009,2024-02,422,218,69,571,120
P009,2024-03,571,220,53,738,120
P009,2024-04,738,85,137,686,120
P009,2024-05,686,233,193,726,120
P009,2024-06,726,144,103,767,120
P009,2024-07,767,123,58,832,120
P009,2024-08,832,174,57,949,120
P009,2024-09,949,232,107,1074,120
P009,2024-10,1074,226,51,1249,120
P009,2024-11,1249,110,88,1271,120
P009,2024-12,1271,255,71,1455,120
P009,2025-01,1455,218,73,1600,120
P009,2025-02,1600,247,97,1750,120
P009,2025-03,1750,247,119,1878,120
P009,2025-04,1878,174,206,1846,120
P009,2025-05,1846,86,145,1787,120
P009,2025-06,1787,93,127,1753,120
P009,2025-07,1753,192,72,1873,120
P009,2025-08,1873,96,56,1913,120
P009,2025-09,1913,198,96,2015,120
P009,2025-10,2015,98,125,1988,120
P009,2025-11,1988,226,106,2108,120
P009,2025-12,2108,128,58,2178,120
P009,2026-01,2178,98,67,2209,120
P009,2026-02,2209,141,95,2255,120
P009,2026-03,2255,243,144,2354,120
P009,2026-04,2354,179,132,2401,120
P009,2026-05,2401,258,131,2528,120
P009,2026-06,2528,126,43,2611,120
P010,2024-01,468,113,91,490,120
P010,2024-02,490,157,64,583,120
P010,2024-03,583,147,146,584,120
P010,2024-04,584,194,96,682,120
P010,2024-05,682,201,137,746,120
P010,2024-06,746,89,79,756,120
P010,2024-07,756,205,34,927,120
P010,2024-08,927,215,14,1128,120
P010,2024-09,1128,148,78,1198,120
P010,2024-10,1198,92,112,1178,120
P010,2024-11,1178,156,109,1225,120
P010,2024-12,1225,138,55,1308,120
P010,2025-01,1308,222,38,1492,120
P010,2025-02,1492,105,69,1528,120
P010,2025-03,1528,133,101,1560,120
P010,2025-04,1560,210,120,1650,120
P010,2025-05,1650,249,113,1786,120
P010,2025-06,1786,186,106,1866,120
P010,2025-07,1866,80,26,1920,120
P010,2025-08,1920,205,50,2075,120
P010,2025-09,2075,85,68,2092,120
P010,2025-10,2092,91,80,2103,120
P010,2025-11,2103,200,105,2198,120
P010,2025-12,2198,146,89,2255,120
P010,2026-01,2255,84,49,2290,120
P010,2026-02,2290,153,35,2408,120
P010,2026-03,2408,148,152,2404,120
P010,2026-04,2404,188,154,2438,120
P010,2026-05,2438,249,104,2583,120
P010,2026-06,2583,98,86,2595,120
P011,2024-01,466,196,113,549,120
P011,2024-02,549,255,63,741,120
P011,2024-03,741,151,205,687,120
P011,2024-04,687,109,120,676,120
P011,2024-05,676,243,159,760,120
P011,2024-06,760,89,55,794,120
P011,2024-07,794,160,33,921,120
P011,2024-08,921,197,97,1021,120
P011,2024-09,1021,98,52,1067,120
P011,2024-10,1067,133,101,1099,120
P011,2024-11,1099,98,144,1053,120
P011,2024-12,1053,232,80,1205,120
P011,2025-01,1205,125,96,1234,120
P011,2025-02,1234,188,74,1348,120
P011,2025-03,1348,123,60,1411,120
P011,2025-04,1411,204,115,1500,120
P011,2025-05,1500,223,153,1570,120
P011,2025-06,1570,87,37,1620,120
P011,2025-07,1620,210,56,1774,120
P011,2025-08,1774,198,49,1923,120
P011,2025-09,1923,93,68,1948,120
P011,2025-10,1948,127,83,1992,120
P011,2025-11,1992,233,81,2144,120
P011,2025-12,2144,159,101,2202,120
P011,2026-01,2202,97,93,2206,120
P011,2026-02,2206,195,73,2328,120
P011,2026-03,2328,221,96,2453,120
P011,2026-04,2453,157,114,2496,120
P011,2026-05,2496,100,62,2534,120
P011,2026-06,2534,103,69,2568,120
P012,2024-01,350,167,71,446,120
P012,2024-02,446,215,50,611,120
P012,2024-03,611,202,101,712,120
P012,2024-04,712,125,125,712,120
P012,2024-05,712,204,82,834,120
P012,2024-06,834,100,84,850,120
P012,2024-07,850,113,33,930,120
P012,2024-08,930,221,52,1099,120
P012,2024-09,1099,242,31,1310,120
P012,2024-10,1310,204,79,1435,120
P012,2024-11,1435,162,74,1523,120
P012,2024-12,1523,240,120,1643,120
P012,2025-01,1643,143,64,1722,120
P012,2025-02,1722,195,85,1832,120
P012,2025-03,1832,203,118,1917,120
P012,2025-04,1917,93,147,1863,120
P012,2025-05,1863,252,82,2033,120
P012,2025-06,2033,194,44,2183,120
P012,2025-07,2183,123,37,2269,120
P012,2025-08,2269,228,58,2439,120
P012,2025-09,2439,148,77,2510,120
P012,2025-10,2510,95,147,2458,120
P012,2025-11,2458,201,76,2583,120
P012,2025-12,2583,104,74,2613,120
P012,2026-01,2613,187,46,2754,120
P012,2026-02,2754,201,71,2884,120
P012,2026-03,2884,108,91,2901,120
P012,2026-04,2901,222,118,3005,120
P012,2026-05,3005,162,159,3008,120
P012,2026-06,3008,143,73,3078,120
P013,2024-01,240,212,97,355,120
P013,2024-02,355,109,35,429,120
P013,2024-03,429,110,149,390,120
P013,2024-04,390,127,169,348,120
P013,2024-05,348,159,127,380,120
P013,2024-06,380,238,65,553,120
P013,2024-07,553,214,50,717,120
P013,2024-08,717,212,48,881,120
P013,2024-09,881,115,36,960,120
P013,2024-10,960,196,74,1082,120
P013,2024-11,1082,142,72,1152,120
P013,2024-12,1152,165,73,1244,120
P013,2025-01,1244,193,75,1362,120
P013,2025-02,1362,109,96,1375,120
P013,2025-03,1375,142,150,1367,120
P013,2025-04,1367,151,81,1437,120
P013,2025-05,1437,237,73,1601,120
P013,2025-06,1601,254,95,1760,120
P013,2025-07,1760,252,32,1980,120
P013,2025-08,1980,174,53,2101,120
P013,2025-09,2101,195,82,2214,120
P013,2025-10,2214,208,137,2285,120
P013,2025-11,2285,220,96,2409,120
P013,2025-12,2409,201,102,2508,120
P013,2026-01,2508,243,60,2691,120
P013,2026-02,2691,148,84,2755,120
P013,2026-03,2755,206,69,2892,120
P013,2026-04,2892,189,125,2956,120
P013,2026-05,2956,219,79,3096,120
P013,2026-06,3096,247,82,3261,120
P014,2024-01,232,233,89,376,120
P014,2024-02,376,228,95,509,120
P014,2024-03,509,236,133,612,120
P014,2024-04,612,129,80,661,120
P014,2024-05,661,184,117,728,120
P014,2024-06,728,92,39,781,120
P014,2024-07,781,90,47,824,120
P014,2024-08,824,186,83,927,120
P014,2024-09,927,254,80,1101,120
P014,2024-10,1101,120,81,1140,120
P014,2024-11,1140,222,56,1306,120
P014,2024-12,1306,94,84,1316,120
P014,2025-01,1316,91,158,1249,120
P014,2025-02,1249,189,43,1395,120
P014,2025-03,1395,130,198,1327,120
P014,2025-04,1327,97,104,1320,120
P014,2025-05,1320,244,113,1451,120
P014,2025-06,1451,239,63,1627,120
P014,2025-07,1627,82,20,1689,120
P014,2025-08,1689,254,15,1928,120
P014,2025-09,1928,83,45,1966,120
P014,2025-10,1966,212,99,2079,120
P014,2025-11,2079,221,137,2163,120
P014,2025-12,2163,131,83,2211,120
P014,2026-01,2211,104,98,2217,120
P014,2026-02,2217,181,67,2331,120
P014,2026-03,2331,239,114,2456,120
P014,2026-04,2456,85,133,2408,120
P014,2026-05,2408,233,96,2545,120
P014,2026-06,2545,191,77,2659,120
P015,2024-01,594,127,96,625,120
P015,2024-02,625,196,25,796,120
P015,2024-03,796,161,142,815,120
P015,2024-04,815,194,119,890,120
P015,2024-05,890,112,94,908,120
P015,2024-06,908,169,108,969,120
P015,2024-07,969,257,35,1191,120
P015,2024-08,1191,231,56,1366,120
P015,2024-09,1366,117,104,1379,120
P015,2024-10,1379,90,84,1385,120
P015,2024-11,1385,155,63,1477,120
P015,2024-12,1477,121,59,1539,120
P015,2025-01,1539,125,75,1589,120
P015,2025-02,1589,112,83,1618,120
P015,2025-03,1618,177,80,1715,120
P015,2025-04,1715,96,77,1734,120
P015,2025-05,1734,242,165,1811,120
P015,2025-06,1811,85,83,1813,120
P015,2025-07,1813,109,44,1878,120
P015,2025-08,1878,181,5,2054,120
P015,2025-09,2054,105,49,2110,120
P015,2025-10,2110,170,102,2178,120
P015,2025-11,2178,93,114,2157,120
P015,2025-12,2157,236,128,2265,120
P015,2026-01,2265,186,88,2363,120
P015,2026-02,2363,134,51,2446,120
P015,2026-03,2446,188,94,2540,120
P015,2026-04,2540,177,125,2592,120
P015,2026-05,2592,227,169,2650,120
P015,2026-06,2650,210,48,2812,120
P016,2024-01,534,235,68,701,120
P016,2024-02,701,98,87,712,120
P016,2024-03,712,218,164,766,120
P016,2024-04,766,243,115,894,120
P016,2024-05,894,115,118,891,120
P016,2024-06,891,229,74,1046,120
P016,2024-07,1046,189,46,1189,120
P016,2024-08,1189,196,19,1366,120
P016,2024-09,1366,208,75,1499,120
P016,2024-10,1499,142,87,1554,120
P016,2024-11,1554,241,137,1658,120
P016,2024-12,1658,214,67,1805,120
P016,2025-01,1805,158,73,1890,120
P016,2025-02,1890,191,92,1989,120
P016,2025-03,1989,251,176,2064,120
P016,2025-04,2064,143,122,2085,120
P016,2025-05,2085,240,102,2223,120
P016,2025-06,2223,82,41,2264,120
P016,2025-07,2264,222,55,2431,120
P016,2025-08,2431,186,27,2590,120
P016,2025-09,2590,207,61,2736,120
P016,2025-10,2736,183,132,2787,120
P016,2025-11,2787,166,99,2854,120
P016,2025-12,2854,107,94,2867,120
P016,2026-01,2867,123,64,2926,120
P016,2026-02,2926,243,61,3108,120
P016,2026-03,3108,153,78,3183,120
P016,2026-04,3183,108,158,3133,120
P016,2026-05,3133,103,89,3147,120
P016,2026-06,3147,131,92,3186,120
P017,2024-01,492,146,78,560,120
P017,2024-02,560,157,82,635,120
P017,2024-03,635,202,150,687,120
P017,2024-04,687,188,124,751,120
P017,2024-05,751,94,161,684,120
P017,2024-06,684,150,63,771,120
P017,2024-07,771,206,28,949,120
P017,2024-08,949,207,47,1109,120
P017,2024-09,1109,154,82,1181,120
P017,2024-10,1181,118,85,1214,120
P017,2024-11,1214,112,114,1212,120
P017,2024-12,1212,96,82,1226,120
P017,2025-01,1226,100,103,1223,120
P017,2025-02,1223,254,67,1410,120
P017,2025-03,1410,154,57,1507,120
P017,2025-04,1507,137,119,1525,120
P017,2025-05,1525,160,106,1579,120
P017,2025-06,1579,173,112,1640,120
P017,2025-07,1640,104,28,1716,120
P017,2025-08,1716,242,65,1893,120
P017,2025-09,1893,166,21,2038,120
P017,2025-10,2038,181,69,2150,120
P017,2025-11,2150,170,127,2193,120
P017,2025-12,2193,248,77,2364,120
P017,2026-01,2364,256,74,2546,120
P017,2026-02,2546,102,56,2592,120
P017,2026-03,2592,208,88,2712,120
P017,2026-04,2712,109,88,2733,120
P017,2026-05,2733,82,139,2676,120
P017,2026-06,2676,179,61,2794,120
P018,2024-01,390,168,71,487,120
P018,2024-02,487,83,58,512,120
P018,2024-03,512,195,107,600,120
P018,2024-04,600,172,117,655,120
P018,2024-05,655,90,154,591,120
P018,2024-06,591,140,71,660,120
P018,2024-07,660,104,70,694,120
P018,2024-08,694,242,50,886,120
P018,2024-09,886,213,59,1040,120
P018,2024-10,1040,168,74,1134,120
P018,2024-11,1134,95,110,1119,120
P018,2024-12,1119,232,98,1253,120
P018,2025-01,1253,143,33,1363,120
P018,2025-02,1363,185,94,1454,120
P018,2025-03,1454,209,111,1552,120
P018,2025-04,1552,151,61,1642,120
P018,2025-05,1642,254,111,1785,120
P018,2025-06,1785,121,84,1822,120
P018,2025-07,1822,141,17,1946,120
P018,2025-08,1946,112,51,2007,120
P018,2025-09,2007,141,105,2043,120
P018,2025-10,2043,223,119,2147,120
P018,2025-11,2147,164,99,2212,120
P018,2025-12,2212,238,72,2378,120
P018,2026-01,2378,240,115,2503,120
P018,2026-02,2503,138,64,2577,120
P018,2026-03,2577,223,62,2738,120
P018,2026-04,2738,169,101,2806,120
P018,2026-05,2806,156,101,2861,120
P018,2026-06,2861,131,75,2917,120
P019,2024-01,226,161,50,337,120
P019,2024-02,337,200,107,430,120
P019,2024-03,430,236,134,532,120
P019,2024-04,532,154,113,573,120
P019,2024-05,573,104,98,579,120
P019,2024-06,579,164,67,676,120
P019,2024-07,676,132,56,752,120
P019,2024-08,752,245,55,942,120
P019,2024-09,942,205,90,1057,120
P019,2024-10,1057,243,107,1193,120
P019,2024-11,1193,135,111,1217,120
P019,2024-12,1217,160,84,1293,120
P019,2025-01,1293,94,95,1292,120
P019,2025-02,1292,104,102,1294,120
P019,2025-03,1294,147,58,1383,120
P019,2025-04,1383,151,127,1407,120
P019,2025-05,1407,201,147,1461,120
P019,2025-06,1461,118,82,1497,120
P019,2025-07,1497,257,37,1717,120
P019,2025-08,1717,220,85,1852,120
P019,2025-09,1852,240,131,1961,120
P019,2025-10,1961,135,100,1996,120
P019,2025-11,1996,181,98,2079,120
P019,2025-12,2079,173,76,2176,120
P019,2026-01,2176,219,98,2297,120
P019,2026-02,2297,232,63,2466,120
P019,2026-03,2466,182,125,2523,120
P019,2026-04,2523,255,142,2636,120
P019,2026-05,2636,168,110,2694,120
P019,2026-06,2694,129,43,2780,120
P020,2024-01,268,147,109,306,120
P020,2024-02,306,132,57,381,120
P020,2024-03,381,116,122,375,120
P020,2024-04,375,161,121,415,120
P020,2024-05,415,127,138,404,120
P020,2024-06,404,257,128,533,120
P020,2024-07,533,134,64,603,120
P020,2024-08,603,189,39,753,120
P020,2024-09,753,215,80,888,120
P020,2024-10,888,250,148,990,120
P020,2024-11,990,203,129,1064,120
P020,2024-12,1064,126,85,1105,120
P020,2025-01,1105,180,123,1162,120
P020,2025-02,1162,92,66,1188,120
P020,2025-03,1188,128,229,1087,120
P020,2025-04,1087,256,148,1195,120
P020,2025-05,1195,80,172,1103,120
P020,2025-06,1103,139,56,1186,120
P020,2025-07,1186,89,55,1220,120
P020,2025-08,1220,176,66,1330,120
P020,2025-09,1330,215,97,1448,120
P020,2025-10,1448,92,148,1392,120
P020,2025-11,1392,103,96,1399,120
P020,2025-12,1399,234,53,1580,120
P020,2026-01,1580,130,92,1618,120
P020,2026-02,1618,80,92,1606,120
P020,2026-03,1606,97,114,1589,120
P020,2026-04,1589,243,131,1701,120
P020,2026-05,1701,246,193,1754,120
P020,2026-06,1754,109,40,1823,120
